LocationIdentifier,LocationName,Island,LatDecDeg,LongDecDeg,CP,CP Result,Ent,Enterococcus,Sample No,Date,Time,Temperature,Salinity,DO,DissolvedOxygenSaturation,pH,Turbidity,Comments
246,Laniakea,Oahu,21.619097,-158.085431,,1,,2.3,MLH04081905,4/8/19,10:40 AM,25,30.65,6.96,100.2,8.26,3.83,"Êsunny, light wind, wave action, turtle on beach"
247,Haleiwa Ali'i Beach Park,Oahu,21.594356,-158.107992,<,1,,2.3,MLH04081906,4/8/19,11:05 AM,25.5,35.07,6.43,95.8,8.18,2.94,"Êsunny, light wind, wave action, surfers"
185,Makaha Beach,Oahu,21.478336,-158.222469,<,1,,2.3,SP04081901,4/8/19,8:38 AM,25.1,35.18,6.44,95.4,8.11,0.7,"Êsunny, light breeze, surfers"
224,Pokai Bay,Oahu,21.442669,-158.189447,,2,,10,SP04081902,4/8/19,9:09 AM,25.7,35.18,6.04,90.3,8.09,1.31,"Êsunny, no breeze, canoers, beach goers"
186,Maili Beach Park,Oahu,21.420614,-158.178647,<,1,,2.3,SP04081903,4/8/19,9:33 AM,25.8,35.22,6.38,95.7,8.15,1,"Êsunny, no breeze, swimmers"
187,Nanakuli Beach Park,Oahu,21.37755,-158.142975,<,1,,2.3,SP04081904,4/8/19,9:57 AM,25.5,35.19,6.38,95.1,8.15,1.84,"Êsunny, light breeze, beach goers"
252,Kohola Lagoon,Oahu,21.337967,-158.124569,,,,,SP04081906,4/8/19,,,,,,,,"No sample taken, parking blocked"
236,White Plains Beach,Oahu,21.303417,-158.045433,,1,,2.3,SP04081907,4/8/19,10:56 AM,26.8,34.73,6.28,95.4,8.12,4.27,"Êsunny, light breeze, swimmers"
213,Barbers Point,Oahu,21.296228,-158.10595,,2,,2.3,JL04041901,4/4/19,9:16 AM,25,35.33,7.18,106.2,8.3,1.35,"sunny; clear sky; moderate wind; fishermen; waves; shallow, rocky area; beach goers"
212,"Nimitz Beach, Barbers Pt.",Oahu,21.298514,-158.073233,,4,,2.3,JL04041902,4/4/19,9:58 AM,25.2,34.15,6.94,102.4,8.18,12,sunny; clear sky; moderate wind; waves; divers
211,"Oneula Beach, Ewa Shoreline",Oahu,21.3045,-158.032767,<,1,,2.3,JL04041903,4/4/19,10:31 AM,25.6,34.83,6.54,97.4,8.29,5.98,sunny; clear sky; moderate wind; waves; beach goers; dog
270,Ewa Beach Residential,Oahu,21.312161,-157.998067,,1,,2.3,JL04041904,4/4/19,10:50 AM,26.6,34.29,6.66,100.7,8.41,1.75,sunny; clear sky; light wind; waves; reef
189,Ewa Beach,Oahu,21.313597,-157.992011,<,1,,2.3,JL04041905,4/4/19,11:13 AM,26,34.68,6.39,95.7,8.28,6.39,sunny; clear sky; waves; beach goers
281,Kualoa Sugar Mill Beach,Oahu,21.522606,-157.835111,<,1,,2.3,SM04041901,4/4/19,9:46 AM,25,31.6,9.48,137.3,8.19,1.87,"Êsunny, windy"
242,Kalae o'io Beach Park,Oahu,21.545911,-157.846239,<,1,,2.3,SM04041902,4/4/19,9:30 AM,24.7,34.81,6.72,98.6,8.13,1.51,"Êsunny, windy"
282,Swanzy Beach Park,Oahu,21.556761,-157.852614,,2,,2.3,SM04041903,4/4/19,9:19 AM,24.1,32.07,8.56,122.4,8.24,0.62,"Êsunny, windy"
286,Kaipapau Beach,Oahu,21.6213,-157.914483,<,1,,2.3,SM04041904,4/4/19,8:54 AM,23.8,34.67,8.19,118.2,8.28,0.67,"Êsunny, windy"
287,Laniloa Beach,Oahu,21.647469,-157.917758,,3,,2.3,SM04041905,4/4/19,8:33 AM,23.4,35.11,7.24,104,8.14,1.04,"Êsunny, windy"
245,Banzai Beach,Oahu,21.662083,-158.054869,<,1,,2.3,SM04041906,4/4/19,8:01 AM,23.4,35.11,6.73,96.8,8.16,1.85,"Êsunny, light breeze"
159,"Gray's Beach, Waikiki",Oahu,21.277186,-157.831369,,,,,JL04031901,4/3/19,,,,,,,,NO SAMPLE TAKEN
256,Outrigger,Oahu,21.262122,-157.821531,,1,,2.3,JL04031902,4/3/19,8:41 AM,24.1,35.32,6.01,87.6,8.08,2.75,sunny; clear sky; swimmers; docked canoes
255,Kaluahole Beach,Oahu,21.257606,-157.817542,,1,,2.3,JL04031903,4/3/19,9:03 AM,24.1,35.02,6.82,99,8.12,2.37,sunny; clear sky; beach goers
217,Diamond Head Beach,Oahu,21.255939,-157.810889,<,1,,2.3,JL04031904,4/3/19,9:21 AM,24.1,35.2,7.57,110.3,8.23,1.45,"sunny; clear sky; light wind; shallow, tide pool area; beach goer"
275,Kaalawai Beach,Oahu,21.257153,-157.796903,<,1,,2.3,JL04031905,4/3/19,9:40 AM,24.7,33.54,8,116.5,8.22,1.11,"sunny; clear sky; light wind; shallow, tide pool area; drain pipes; dog present; beach goer"
276,Kahala at Kala Place,Oahu,21.26135,-157.786692,<,1,,2.3,JL04031906,4/3/19,10:00 AM,25,34.56,7.4,108.9,8.14,0.8,sunny; clear sky; light wind; fisherman
204,Kahala Beach Shoreline,Oahu,21.262922,-157.783753,<,1,,2.3,JL04031907,4/3/19,10:15 AM,25,34.61,7.63,112.5,8.16,1.6,sunny; clear sky; swimmers; beach goers; dogs present
214,Waialae-Kahala Beach,Oahu,21.269494,-157.776733,<,1,,2.3,JL04031908,4/3/19,10:36 AM,25.4,32.87,6.89,101.2,8.19,7.02,sunny; clear sky; water slightly murky; stream (right); dogs present
389,Kaluanui Beach Park,Oahu,21.594481,-157.895094,,1,,2.3,MLH04031901,4/3/19,9:00 AM,23.6,34.73,6.56,94.5,8.04,7.2,"Êsunny, light onshores"
262,Pounders,Oahu,21.631614,-157.920858,<,1,,2.3,MLH04031902,4/3/19,9:15 AM,23.7,34.18,6.96,100,8.07,7.05,"Êsunny, light onshores, wave action"
221,Malaekahana,Oahu,21.662011,-157.929711,<,1,,2.3,MLH04031903,4/3/19,9:35 AM,23.7,34.6,6.97,100.4,8.19,4.04,"Êsunny, light onshores"
173,Kawela Bay Shoreline,Oahu,21.697261,-158.008733,,2,,2.3,MLH04031904,4/3/19,10:05 AM,23.5,32.54,6.61,93.7,8.09,10.9,"Êpartly cloudy, light wind, swimmer"
266,Ehukai,Oahu,21.66555,-158.051164,,1,,2.3,MLH04031905,4/3/19,10:30 AM,24,35.12,6.58,95.6,8.15,4.39,"Êsunny, light wind, high surf, surfers"
313,Kapaeloa Beach,Oahu,21.633358,-158.069747,<,1,,2.3,MLH04031906,4/3/19,11:00 AM,24.3,34.42,6.71,97.6,8.2,3.91,"Êsunny, light wind, wave action"
299,Papailoa Beach,Oahu,21.613144,-158.094778,,,,,MLH04031907,4/3/19,,,,,,,,No sample taken. Insufficient time
249,Maipalaoa Beach,Oahu,21.404692,-158.177739,,4,,2.3,SM04031901,4/3/19,8:29 AM,24,35.2,7.32,106.4,8.19,1.28,"sunny, light breeze"
273,Puuohulu Beach,Oahu,21.396475,-158.163731,,1,,2.3,SM04031902,4/3/19,8:42 AM,24.5,35.15,6.61,96.9,8.18,1.77,"Êsunny, light breeze"
233,Nanaikapono,Oahu,21.386389,-158.151361,,1,,2.3,SM04031903,4/3/19,8:53 AM,24.5,35.11,6.55,96.1,8.17,4.24,"Êsunny, light breeze"
250,Ulehawa Beach,Oahu,21.382461,-158.147306,<,1,,2.3,SM04031904,4/3/19,9:05 AM,25,35.2,6.71,99.3,8.16,2.46,"Êsunny, light breeze"
201,Hanauma Beach Park,Oahu,21.271522,-157.696553,<,1,,2.3,SP04031901,4/3/19,8:53 AM,23.9,35.23,5.97,86.6,8.02,0.57,"Êwindy, sunny"
155,"Kahanamoku Beach, Waikiki",Oahu,21.281519,-157.839492,<,1,,2.3,MLH04011901,4/1/19,9:45 AM,26.4,35.16,7.57,114.5,8.19,12.8,"Êsunny, light wind, swimmers"
238,"Moana Beach, Waikiki",Oahu,21.276658,-157.8279,,1,,2.3,MLH04011902,4/1/19,8:30 AM,25.2,35.18,6.37,94.6,8.07,6.5,"Êsunny, no wind, swimmers"
161,"Kuhio Beach, Waikiki",Oahu,21.271483,-157.823031,<,1,,2.3,MLH04011903,4/1/19,8:55 AM,25.1,35.13,6.54,96.7,8.03,4.22,"Êsunny, no wind, swimmers"
228,Sans Souci,Oahu,21.263553,-157.822033,,4,,2.3,MLH04011904,4/1/19,9:15 AM,25.5,35.22,5.91,88.1,8.05,5.45,"Êsunny, light wind, swimmers, dogs on beach and in water"
222,Ala Moana Lagoon,Oahu,21.283056,-157.846222,<,1,,10,MLH04011905,4/1/19,10:15 AM,25.4,35.06,7.02,104.5,8.12,3.75,"Êsunny, light wind, swimmers"
154,"Ala Moana Park, D.H.",Oahu,21.287458,-157.846167,<,1,,2.3,MLH04011906,4/1/19,10:40 AM,26.8,35.14,6.63,100.9,8.14,4.96,"Êsunny, light wind, swimmers"
153,"Ala Moana Park, Center",Oahu,21.289447,-157.849822,<,1,,2.3,MLH04011907,4/1/19,11:05 AM,27.6,35.09,9.22,142.2,8.23,5.8,"Êsunny, light wind, swimmers"
185,Makaha Beach,Oahu,21.478336,-158.222469,<,1,,2.3,SM04011901,4/1/19,8:33 AM,24.5,35.11,6.54,95.6,8.14,1.31,"Êsunny, light breeze, surfers"
224,Pokai Bay,Oahu,21.442669,-158.189447,,2,,2.3,SM04011902,4/1/19,8:51 AM,24.9,35.05,6.12,90.2,8.11,1.81,"Êsunny, light breeze"
186,Maili Beach Park,Oahu,21.420614,-158.178647,<,1,,2.3,SM04011903,4/1/19,9:05 AM,24.7,35.2,6.73,99.1,8.17,1.58,"Êsunny, light breeze"
187,Nanakuli Beach Park,Oahu,21.37755,-158.142975,,1,,2.3,SM04011904,4/1/19,9:22 AM,24.8,35.12,6.56,96.5,8.14,4,"Êsunny, light breeze"
252,Kohola Lagoon,Oahu,21.337967,-158.124569,,3,,2.3,SM04011905,4/1/19,9:44 AM,25.7,34.13,6.15,91.4,8.04,5.86,"Êsunny, light breeze, swimmers"
236,White Plains Beach,Oahu,21.303417,-158.045433,<,1,,2.3,SM04011906,4/1/19,10:13 AM,25.4,35.19,6.46,96.1,8.19,4.01,"Êsunny, light breeze, surfers"
208,Kualoa Beach,Oahu,21.514211,-157.836136,<,1,,2.3,SP04011901,4/1/19,9:04 AM,25,34.77,6.85,101.1,8.1,5.03,"Êsunny, no wind"
225,Sunset Beach,Oahu,21.673564,-158.041194,<,1,,2.3,SP04011902,4/1/19,9:55 AM,24.3,35.13,6.65,97.1,8.13,2.82,"Êcloudy, no wind, swimmers"
172,Waimea Bay Shoreline,Oahu,21.639736,-158.063667,<,1,,20,SP04011903,4/1/19,10:16 AM,24.1,34.68,6.57,95.3,8.11,3.43,"Êcloudy, no wind, swimmers"
218,Chun's Reef,Oahu,21.62155,-158.082028,<,1,,2.3,SP04011904,4/1/19,10:33 AM,24,32.23,6.64,94.9,8.13,1.49,"Êcloudy, light rain, surfers"
246,Laniakea,Oahu,21.619097,-158.085431,<,1,,2.3,SP04011905,4/1/19,10:44 AM,24.1,30.92,6.79,96.4,8.16,1.44,"Êcloudy, light rain, organic matter"
247,Haleiwa Ali'i Beach Park,Oahu,21.594356,-158.107992,<,1,,2.3,SP04011906,4/1/19,11:02 AM,24.5,35.07,6.54,95.9,8.14,3.07,"Êcloudy, light breeze, surfers"
193,Kailua Beach Park,Oahu,21.398494,-157.727858,,1,,2.3,TM04011901,4/1/19,8:26 AM,25.9,34.23,6.52,97.1,8,8.18,"1 SUP, sunny, no wind"
194,Lanikai Beach Shoreline,Oahu,21.391961,-157.714922,<,1,,2.3,TM04011902,4/1/19,8:48 AM,25.9,34.34,5.96,89.3,7.98,2.71,"Ê10 swimmers, 2 SUPs, 2 canoes, sunny, no wind"
197,Waimanalo Beach,Oahu,21.332461,-157.693417,<,1,,2.3,TM04011903,4/1/19,9:21 AM,26.3,34.63,6.6,98.5,8.09,6.35,"Ê1 swimmer, sunny, no wind"
216,Makapuu,Oahu,21.312022,-157.660525,<,1,,2.3,TM04011904,4/1/19,9:38 AM,25.3,34.46,6.54,96.7,8.16,1.17,"Ê5 swimmers, sunny, no wind"
200,Sandy Beach Pt. No. 1,Oahu,21.285647,-157.672783,,1,,2.3,TM04011905,4/1/19,9:53 AM,25.5,34.25,6.48,96.1,8.16,3.62,"Ê15 swimmers, 14 surfers, sunny, no wind"
201,Hanauma Beach Park,Oahu,21.271522,-157.696553,,4,,222,TM04011906,4/1/19,10:20 AM,25.9,34.12,6.78,101.4,8.12,4.22,"Ê~400 swimmers, sunny, no wind, low tide"
281,Kualoa Sugar Mill Beach,Oahu,21.522606,-157.835111,<,1,,2.3,JL03281901,3/28/19,8:29 AM,25,34.47,6.28,92.4,8.13,2.82,sunny; clear sky; fishÊ
242,Kalae o'io Beach Park,Oahu,21.545911,-157.846239,,3,,42,JL03281902,3/28/19,9:00 AM,24.2,34.54,6.73,97.8,8.15,16.1,sunny; clear sky; small shore break; stream flowing (right); swimmers; beach goersÊ
282,Swanzy Beach Park,Oahu,21.556761,-157.852614,<,1,,2.3,JL03281903,3/28/19,9:16 AM,24.5,33.71,7.28,105.9,8.17,1.66,"sunny; few clouds; shallow, rocky areaÊ"
286,Kaipapau Beach,Oahu,21.6213,-157.914483,,3,,2.3,JL03281904,3/28/19,9:46 AM,24.7,35,7.59,111.5,8.28,1.12,"sunny; some clouds; shallow, rocky area; drain pipe; diverÊ"
287,Laniloa Beach,Oahu,21.647469,-157.917758,<,1,,2.3,JL03281905,3/28/19,10:09 AM,25.4,35.21,6.7,99.6,8.17,2.02,sunny; some clouds; swimmer; beach goersÊ
245,Banzai Beach,Oahu,21.662083,-158.054869,<,1,,2.3,JL03281906,3/28/19,10:57 AM,24.4,35.09,6.66,97.4,8.21,1.32,sunny; clear sky; waves; shore break; beach goers Ê
274,Manners,Oahu,21.360108,-158.131958,<,1,,2.3,MLH03281901,3/28/19,9:40 AM,24.5,35.11,6.53,95.8,8.12,4.3,"Êsunny, no wind, surfers"
188,Kahe Point Park,Oahu,21.356147,-158.130197,<,1,,2.3,MLH03281902,3/28/19,10:00 AM,24.7,35.14,6.5,95.6,8.13,5.2,"Êsunny, no wind"
309,Kahe,Oahu,21.354,-158.130278,,3,,2.3,MLH03281903,3/28/19,10:30 AM,24.9,35.08,6.46,95.3,8.12,5.15,"Êsunny, light wind, divers"
388,Aweoweo Beach Park,Oahu,21.5834,-158.1402,<,1,,2.3,SP03281901,3/28/19,8:27 AM,23.9,34.95,6.56,94.9,8.04,2.4,"Êsunny, no wind, breach goers"
291,Mokuleia at Kiapoko,Oahu,21.582289,-158.131606,<,1,,10,SP03281902,3/28/19,8:49 AM,24,34.04,6.59,95.3,8.04,3.04,"Êsunny, no wind"
169,Mokuleia Shoreline,Oahu,21.582086,-158.193042,<,1,,2.3,SP03281903,3/28/19,9:20 AM,24.8,35.08,7,102.9,8.22,0.51,"Êsunny, breeze, beach goers"
290,Kealia Beach,Oahu,21.582175,-158.201819,<,1,,2.3,SP03281904,3/28/19,9:38 AM,24.6,34.99,6.61,96.9,8.18,1.74,"Êpartly cloudy, breeze, fisherman"
232,Camp Erdman,Oahu,21.579469,-158.2237,,1,,2.3,SP03281905,3/28/19,9:59 AM,24.6,35.18,6.79,99.7,8.15,1.44,"Êpartly cloudy, breeze"
208,Kualoa Beach,Oahu,21.514211,-157.836136,<,1,,2.3,JL03271901,3/27/19,8:07 AM,24.9,34.9,7.11,104.7,8.2,5.75,sunny; clear sky; beach goersÊ
225,Sunset Beach,Oahu,21.673564,-158.041194,,1,,2.3,JL03271902,3/27/19,9:20 AM,24,35.23,6.76,98.2,8.39,2.21,sunny; clear sky; flat; surfers; swimmers; beach goersÊ
172,Waimea Bay Shoreline,Oahu,21.639736,-158.063667,<,1,,20,JL03271903,3/27/19,10:17 AM,23.9,34.4,6.79,98,8.21,2.58,sunny; clear sky; flat; swimmers; SUPs; beach goers
218,Chun's Reef,Oahu,21.62155,-158.082028,<,1,,2.3,JL03271904,3/27/19,10:39 AM,24,27.42,7.26,100.9,8.28,4.95,mostly sunny; surfers; beach goers; debrisÊ
246,Laniakea,Oahu,21.619097,-158.085431,<,1,,2.3,JL03271905,3/27/19,10:51 AM,23.8,31.01,7.33,103.7,8.27,1.92,mostly sunny; surfer; beach goers; debrisÊ
247,Haleiwa Ali'i Beach Park,Oahu,21.594356,-158.107992,,1,,2.3,JL03271906,3/27/19,11:05 AM,24,34.91,6.69,97.1,8.22,5.68,partly sunny/cloudy; moderate wind; waves; surfers; beach goersÊ
185,Makaha Beach,Oahu,21.478336,-158.222469,<,1,,2.3,SM03271901,3/27/19,8:39 AM,24.3,35.13,6.84,99.9,8.16,1.02,"Êsunny, light breeze, surfers"
224,Pokai Bay,Oahu,21.442669,-158.189447,,1,,10,SM03271902,3/27/19,8:57 AM,24.5,35,6.3,92.2,8.13,1.7,"Êsunny, light breeze"
186,Maili Beach Park,Oahu,21.420614,-158.178647,<,1,,2.3,SM03271903,3/27/19,9:12 AM,24.2,35.21,6.54,95.4,8.15,2.32,"Êsunny, light breeze"
187,Nanakuli Beach Park,Oahu,21.37755,-158.142975,<,1,,2.3,SM03271904,3/27/19,9:28 AM,24,35.18,6.66,96.9,8.17,9.6,"Êsunny, light breeze"
252,Kohola Lagoon,Oahu,21.337967,-158.124569,<,1,,2.3,SM03271905,3/27/19,9:49 AM,24.6,34.03,6.59,96.1,8.07,5.62,"Êsunny, light breeze, swimmers"
236,White Plains Beach,Oahu,21.303417,-158.045433,,6,,2.3,SM03271906,3/27/19,10:23 AM,24.9,35.02,6.63,97.7,8.15,10,"Êsunny, light breeze, swimmers, surfers"
155,"Kahanamoku Beach, Waikiki",Oahu,21.281519,-157.839492,<,1,,2.3,SP03271901,3/27/19,8:35 AM,24.3,35.2,6.83,99.7,8.1,6.48,"Êsunny, no wind, beach goers"
238,"Moana Beach, Waikiki",Oahu,21.276658,-157.8279,<,1,,2.3,SP03271902,3/27/19,8:58 AM,24.1,35.27,6.64,96.7,8.07,6.7,"Êsunny, no wind, swimmers"
161,"Kuhio Beach, Waikiki",Oahu,21.271483,-157.823031,,4,,2.3,SP03271903,3/27/19,9:12 AM,24.4,35.19,6.54,95.7,8.03,2.28,"sunny, no wind, swimmersÊ"
228,Sans Souci,Oahu,21.263553,-157.822033,<,1,,10,SP03271904,3/27/19,9:28 AM,24.7,35.29,6,88.3,8.03,1.88,"Êsunny, no wind, swimmers"
222,Ala Moana Lagoon,Oahu,21.283056,-157.846222,<,1,,10,SP03271905,3/27/19,10:01 AM,24.9,35.08,6.94,102.3,8.11,1.98,"Êsunny, light breeze, swimmers"
154,"Ala Moana Park, D.H.",Oahu,21.287458,-157.846167,<,1,,2.3,SP03271906,3/27/19,10:21 AM,25,35.16,6.42,95,8.11,2.51,"Êsunny, light breeze, fish, swimmers"
153,"Ala Moana Park, Center",Oahu,21.289447,-157.849822,<,1,,2.3,SP03271907,3/27/19,10:32 AM,25.7,35.18,8.34,124.7,8.19,3.88,"Êsunny, light breeze, swimmer"
193,Kailua Beach Park,Oahu,21.398494,-157.727858,<,1,,2.3,TM03271901,3/27/19,8:12 AM,24,35.12,6.36,92.4,7.91,6.24,"Ê4 swimmers, 1 canoe, sunny, no wind"
194,Lanikai Beach Shoreline,Oahu,21.391961,-157.714922,<,1,,2.3,TM03271902,3/27/19,8:31 AM,23.9,35.12,6,87,7.96,2.95,"Ê5 swimmers, sunny, no wind"
197,Waimanalo Beach,Oahu,21.332461,-157.693417,<,1,,2.3,TM03271903,3/27/19,9:06 AM,24.9,34.35,6.2,91.4,8.12,8.84,"Ê1 swimmer, sunny, light wind"
216,Makapuu,Oahu,21.312022,-157.660525,<,1,,2.3,TM03271904,3/27/19,9:25 AM,25,34.68,6.21,91.5,8.14,2.59,"Ê5 swimmers, sunny, light wind"
200,Sandy Beach Pt. No. 1,Oahu,21.285647,-157.672783,<,1,,2.3,TM03271905,3/27/19,9:39 AM,24.9,34.57,6.36,93.5,8.16,2.98,"Ê8 swimmers, 4 surfers, sunny, no wind"
249,Maipalaoa Beach,Oahu,21.404692,-158.177739,,3,,31,JL03201901,3/20/19,8:41 AM,23.5,34.95,7.37,105.9,8.35,1.84,sunny; clear sky; dog presentÊ
273,Puuohulu Beach,Oahu,21.396475,-158.163731,,3,,2.3,JL03201902,3/20/19,9:22 AM,23.8,35.16,6.92,100.1,8.28,1.34,"sunny; clear sky; shallow, reef areaÊ"
233,Nanaikapono,Oahu,21.386389,-158.151361,,1,,20,JL03201903,3/20/19,9:41 AM,23.5,34.77,6.97,100.1,8.28,6.28,partly sunny/cloudy; fishermen; small shore breakÊ
250,Ulehawa Beach,Oahu,21.382461,-158.147306,<,1,,2.3,JL03201904,3/20/19,10:04 AM,23.7,35.16,6.78,97.9,8.13,4.15,partly sunny/cloudy; swimmers; beach goers; homeless camp; dog present
389,Kaluanui Beach Park,Oahu,21.594481,-157.895094,,,,,MLH03201901,3/20/19,,,,,,,,No sample taken. BWA
262,Pounders,Oahu,21.631614,-157.920858,<,1,,2.3,MLH03201902,3/20/19,9:00 AM,23.5,34.63,6.69,96.2,8.02,4.84,"Êsunny, no wind"
221,Malaekahana,Oahu,21.662011,-157.929711,,1,,2.3,MLH03201903,3/20/19,9:30 AM,23.8,34.17,7.32,105.4,8.13,2.83,"Êsunny, no wind"
